taxon	file	size_bytes	sha256
Naegleria	md.xtc	697797340	d058ba3e9109cf0e7b00706d75ee6d7fb14d18f9592191b44b4e54cac8f408d1
Naegleria	myht.fa	95	b5a6e77ec1c4f010dcf3d2af3b3013553b3a8ed99e855482ab1d376288b7c7ab
Naegleria	myht.out	1821	3f1e7155d3bf4cc9f982c2f3ec5e93bd99d159c460674317b66f1b367146eee4
Octopus	md.tpr	5163956	924dd6d1e4dff147c0aff4d8ef06646a3423241353d4d8746ed6a256dd2af890
Octopus	md.xtc	566255016	df371e9158e0c9a27ef294ddabdb8c315390421064d0ac141996d1867b174375
Octopus	myht.fa	82	14a1a20ffa7bcf46b2d768b74cd15aaa8ddedaa347cbfb2a2833ee0730035da2
Octopus	myht.out	1613	a530a0899e4d718f3c55edd0584c77ae15de175c1046c192fc0ed5b6416c3f68
Ovis	md.tpr	7203492	384b21ba95fbaa07861b0bf575542d8735b18557c2e1ac40fa586d4af22ead5d
Ovis	md.xtc	875754188	9c7609c3fc7e754067208993a30ff4fdd899588ccdc7fc93f847b21593ad4187
Ovis	myht.fa	90	aafd4da75a20d8f8a988b05df95f5cc812379599673a6387ad012f399d2668f0
Ovis	myht.out	1977	c2efbb5978f05f5fdc0ba3eb84bcab99ca9a4b6998e2925a575fa29a3613b3b6
Phoronis	md.tpr	6035768	854466227a2f6516a7085d096bf8be0a3bb1232f0902d749a82368e20c3b5b38
Phoronis	md.xtc	707526300	b3e4ee601e96877c902fbe74c21701d0bfc98c6adb4311924e73770967d0d97d
Phoronis	myht.fa	91	fb5f24a12074d846a43f7a4490ccf2f2bff3c92e3e9e7017ce619a3e1e349501
Phoronis	myht.out	1795	aeb64cfcd0db3fdc5789950ba233caff2dccae85f1b3d75c9a071cef4bbf2341
Podocoryna	md.tpr	7486120	2927381fc1418981633c1679336e5804344727a4a4d82bc5535d0d080997c06c
Podocoryna	md.xtc	929721632	cd04f8b495e0fdd431a9ae2457cfac5d5dbabd130eb7ae1077be6f006110ccfb
Podocoryna	myht.fa	98	226361a7eaba69fcad19bacfabba2472d1497f99c23b62a51698339bb435771d
Podocoryna	myht.out	2003	de2ecd281525c8c17cbdcb48ebb1409a13dc7bddad2c4e74ffe4ecce267e06b4
Saccoglossus	md.tpr	8121980	36872fc07d94802680567a7c6ba3c57f2421a2ee4a241522ed0a49f87fe73685
Saccoglossus	md.xtc	1030475880	ee0e3ccf3adb6835ceac878eadf0afa5a383c9d5f87a2f0bf57e4138434d1140
Saccoglossus	myht.fa	106	2b655317227f4887be5372886b69859e793ebc66c24bf55f946546f788334c60
Saccoglossus	myht.out	2029	fb22b31336fae6562e3cb29c51a9528bbcc47615230eb0b966930acc3049759d
Salpa	md.tpr	7571176	b2dc6b64b753fe36e88417e011b5a761430475b5ad517b3e0cae03fceea3736b
Salpa	md.xtc	933951860	0cae37d521d64a251907c0dee4e83b5da444476b12f632a4236148677f71e457
Salpa	myht.fa	94	32d0b4e8cbbcca1a3792f2feac73b77b279f324759854aa4b1083c92b22f6068
Salpa	myht.out	1951	7d6628f63e854943cb55f860c25ca55723086c409e167c3ce451c56ce2dd90dc
Willaertia	md.tpr	5086248	19a08ad9fe03343bc8fd277e14afba80aabddc31e5b1369b22aa3f50277f5491
Willaertia	md.xtc	566580588	302e80b0af67f5e4abaf3d0e40391a5ab307305f06f4494aaf1fb5ab1c91bb08
Willaertia	myht.fa	82	df1cfaea1965b46933daeadfab09f797195fffe3212d6c45dcb37ac9342c0edc
Willaertia	myht.out	1613	e951a00d452df67820def94127bdef93e8375dd0d26d97863ab685c05f3c1318
